experiment,method,kernel,n_images_used,MAE,mean_count_accuracy
otsu_k3,otsu,3,195,6.78974358974359,-1.184959184839177
otsu_k5,otsu,5,208,7.653846153846154,-0.9244154907462749
adp_k3,adaptive,3,148,8.97972972972973,-2.421241304825064
adp_k5,adaptive,5,177,12.225988700564972,-3.410376148757201
